azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4
227.968,61.417,54.4,7.9,1.497,228.375,61.271,53.6,8.2,1.485,228.779,61.123,52.5,8.5,1.48,229.193,60.97,53.6,8.2,1.478,229.596,60.818,53.4,8.5,1.47
228.375,61.271,53.6,8.2,1.485,228.779,61.123,52.5,8.5,1.48,229.193,60.97,53.6,8.2,1.478,229.596,60.818,53.4,8.5,1.47,229.99,60.668,53.5,8.4,1.467
228.779,61.123,52.5,8.5,1.48,229.193,60.97,53.6,8.2,1.478,229.596,60.818,53.4,8.5,1.47,229.99,60.668,53.5,8.4,1.467,230.381,60.517,53.2,8.5,1.458
229.193,60.97,53.6,8.2,1.478,229.596,60.818,53.4,8.5,1.47,229.99,60.668,53.5,8.4,1.467,230.381,60.517,53.2,8.5,1.458,230.768,60.365,52.9,8.4,1.457
229.596,60.818,53.4,8.5,1.47,229.99,60.668,53.5,8.4,1.467,230.381,60.517,53.2,8.5,1.458,230.768,60.365,52.9,8.4,1.457,231.159,60.21,52.6,8.6,1.452
229.99,60.668,53.5,8.4,1.467,230.381,60.517,53.2,8.5,1.458,230.768,60.365,52.9,8.4,1.457,231.159,60.21,52.6,8.6,1.452,231.546,60.054,53.1,8.4,1.442
230.381,60.517,53.2,8.5,1.458,230.768,60.365,52.9,8.4,1.457,231.159,60.21,52.6,8.6,1.452,231.546,60.054,53.1,8.4,1.442,231.93,59.897,54.1,8.2,1.434
230.768,60.365,52.9,8.4,1.457,231.159,60.21,52.6,8.6,1.452,231.546,60.054,53.1,8.4,1.442,231.93,59.897,54.1,8.2,1.434,232.305,59.742,54.7,8.1,1.423
231.159,60.21,52.6,8.6,1.452,231.546,60.054,53.1,8.4,1.442,231.93,59.897,54.1,8.2,1.434,232.305,59.742,54.7,8.1,1.423,232.683,59.583,55.7,7.6,1.416
231.546,60.054,53.1,8.4,1.442,231.93,59.897,54.1,8.2,1.434,232.305,59.742,54.7,8.1,1.423,232.683,59.583,55.7,7.6,1.416,233.058,59.424,56.1,7.6,1.414
231.93,59.897,54.1,8.2,1.434,232.305,59.742,54.7,8.1,1.423,232.683,59.583,55.7,7.6,1.416,233.058,59.424,56.1,7.6,1.414,233.424,59.266,56.4,7.3,1.41
232.305,59.742,54.7,8.1,1.423,232.683,59.583,55.7,7.6,1.416,233.058,59.424,56.1,7.6,1.414,233.424,59.266,56.4,7.3,1.41,233.792,59.105,57.1,7.1,1.397
232.683,59.583,55.7,7.6,1.416,233.058,59.424,56.1,7.6,1.414,233.424,59.266,56.4,7.3,1.41,233.792,59.105,57.1,7.1,1.397,234.158,58.944,56.5,7.1,1.391
233.058,59.424,56.1,7.6,1.414,233.424,59.266,56.4,7.3,1.41,233.792,59.105,57.1,7.1,1.397,234.158,58.944,56.5,7.1,1.391,234.527,58.779,56.8,7.0,1.384
233.424,59.266,56.4,7.3,1.41,233.792,59.105,57.1,7.1,1.397,234.158,58.944,56.5,7.1,1.391,234.527,58.779,56.8,7.0,1.384,234.881,58.618,57.0,7.1,1.378
233.792,59.105,57.1,7.1,1.397,234.158,58.944,56.5,7.1,1.391,234.527,58.779,56.8,7.0,1.384,234.881,58.618,57.0,7.1,1.378,235.232,58.457,57.9,6.9,1.375
234.158,58.944,56.5,7.1,1.391,234.527,58.779,56.8,7.0,1.384,234.881,58.618,57.0,7.1,1.378,235.232,58.457,57.9,6.9,1.375,235.586,58.293,57.8,6.8,1.364
234.527,58.779,56.8,7.0,1.384,234.881,58.618,57.0,7.1,1.378,235.232,58.457,57.9,6.9,1.375,235.586,58.293,57.8,6.8,1.364,235.932,58.13,57.6,6.9,1.365
234.881,58.618,57.0,7.1,1.378,235.232,58.457,57.9,6.9,1.375,235.586,58.293,57.8,6.8,1.364,235.932,58.13,57.6,6.9,1.365,236.286,57.962,57.9,6.8,1.359
235.232,58.457,57.9,6.9,1.375,235.586,58.293,57.8,6.8,1.364,235.932,58.13,57.6,6.9,1.365,236.286,57.962,57.9,6.8,1.359,236.632,57.795,57.5,6.8,1.346
235.586,58.293,57.8,6.8,1.364,235.932,58.13,57.6,6.9,1.365,236.286,57.962,57.9,6.8,1.359,236.632,57.795,57.5,6.8,1.346,236.975,57.628,57.6,7.0,1.343
235.932,58.13,57.6,6.9,1.365,236.286,57.962,57.9,6.8,1.359,236.632,57.795,57.5,6.8,1.346,236.975,57.628,57.6,7.0,1.343,237.31,57.463,57.9,6.9,1.335
236.286,57.962,57.9,6.8,1.359,236.632,57.795,57.5,6.8,1.346,236.975,57.628,57.6,7.0,1.343,237.31,57.463,57.9,6.9,1.335,237.648,57.294,57.0,6.9,1.332
236.632,57.795,57.5,6.8,1.346,236.975,57.628,57.6,7.0,1.343,237.31,57.463,57.9,6.9,1.335,237.648,57.294,57.0,6.9,1.332,237.983,57.125,56.4,7.2,1.317
236.975,57.628,57.6,7.0,1.343,237.31,57.463,57.9,6.9,1.335,237.648,57.294,57.0,6.9,1.332,237.983,57.125,56.4,7.2,1.317,238.311,56.958,56.9,7.2,1.309
237.31,57.463,57.9,6.9,1.335,237.648,57.294,57.0,6.9,1.332,237.983,57.125,56.4,7.2,1.317,238.311,56.958,56.9,7.2,1.309,238.641,56.788,56.7,7.0,1.294
237.648,57.294,57.0,6.9,1.332,237.983,57.125,56.4,7.2,1.317,238.311,56.958,56.9,7.2,1.309,238.641,56.788,56.7,7.0,1.294,238.968,56.617,53.9,8.2,1.285
237.983,57.125,56.4,7.2,1.317,238.311,56.958,56.9,7.2,1.309,238.641,56.788,56.7,7.0,1.294,238.968,56.617,53.9,8.2,1.285,239.293,56.445,53.3,8.3,1.275
238.311,56.958,56.9,7.2,1.309,238.641,56.788,56.7,7.0,1.294,238.968,56.617,53.9,8.2,1.285,239.293,56.445,53.3,8.3,1.275,239.616,56.273,53.0,8.6,1.267
238.641,56.788,56.7,7.0,1.294,238.968,56.617,53.9,8.2,1.285,239.293,56.445,53.3,8.3,1.275,239.616,56.273,53.0,8.6,1.267,239.926,56.106,54.9,7.8,1.258
238.968,56.617,53.9,8.2,1.285,239.293,56.445,53.3,8.3,1.275,239.616,56.273,53.0,8.6,1.267,239.926,56.106,54.9,7.8,1.258,240.244,55.933,54.4,7.6,1.255
